date.time,unit,value
12/15/2019 11:43,C,0.028
12/15/2019 15:43,C,0.028
12/15/2019 19:43,C,0.028
12/15/2019 23:43,C,0.028
12/16/2019 3:43,C,0.028
12/16/2019 7:43,C,0.028
12/16/2019 11:43,C,0.028
12/16/2019 15:43,C,0.028
12/16/2019 19:43,C,0.028
12/16/2019 23:43,C,0.028
12/17/2019 3:43,C,0.028
12/17/2019 7:43,C,0.028
12/17/2019 11:43,C,0.028
12/17/2019 15:43,C,0.028
12/17/2019 19:43,C,0.028
12/17/2019 23:43,C,0.028
12/18/2019 3:43,C,0.028
12/18/2019 7:43,C,0.028
12/18/2019 11:43,C,0.028
12/18/2019 15:43,C,0.028
12/18/2019 19:43,C,0.028
12/18/2019 23:43,C,0.028
12/19/2019 3:43,C,0.028
12/19/2019 7:43,C,0.028
12/19/2019 11:43,C,0.028
12/19/2019 15:43,C,0.028
12/19/2019 19:43,C,0.028
12/19/2019 23:43,C,0.028
12/20/2019 3:43,C,0.028
12/20/2019 7:43,C,0.028
12/20/2019 11:43,C,0.028
12/20/2019 15:43,C,0.028
12/20/2019 19:43,C,0.028
12/20/2019 23:43,C,0.028
12/21/2019 3:43,C,0.028
12/21/2019 7:43,C,0.028
12/21/2019 11:43,C,0.028
12/21/2019 15:43,C,0.028
12/21/2019 19:43,C,0.028
12/21/2019 23:43,C,0.028
12/22/2019 3:43,C,0.028
12/22/2019 7:43,C,0.028
12/22/2019 11:43,C,0.028
12/22/2019 15:43,C,0.028
12/22/2019 19:43,C,0.028
12/22/2019 23:43,C,0.028
12/23/2019 3:43,C,0.028
12/23/2019 7:43,C,0.028
12/23/2019 11:43,C,0.028
12/23/2019 15:43,C,0.028
12/23/2019 19:43,C,0.028
12/23/2019 23:43,C,0.028
12/24/2019 3:43,C,0.028
12/24/2019 7:43,C,0.028
12/24/2019 11:43,C,0.028
12/24/2019 15:43,C,0.028
12/24/2019 19:43,C,0.028
12/24/2019 23:43,C,0.028
12/25/2019 3:43,C,0.028
12/25/2019 7:43,C,0.028
12/25/2019 11:43,C,0.028
12/25/2019 15:43,C,0.028
12/25/2019 19:43,C,0.028
12/25/2019 23:43,C,0.028
12/26/2019 3:43,C,0.028
12/26/2019 7:43,C,0.028
12/26/2019 11:43,C,0.028
12/26/2019 15:43,C,0.028
12/26/2019 19:43,C,0.028
12/26/2019 23:43,C,0.028
12/27/2019 3:43,C,0.028
12/27/2019 7:43,C,0.028
12/27/2019 11:43,C,0.531
12/27/2019 15:43,C,0.531
12/27/2019 19:43,C,0.531
12/27/2019 23:43,C,0.531
12/28/2019 3:43,C,0.531
12/28/2019 7:43,C,0.531
12/28/2019 11:43,C,0.531
12/28/2019 15:43,C,0.531
12/28/2019 19:43,C,0.531
12/28/2019 23:43,C,0.531
12/29/2019 3:43,C,0.531
12/29/2019 7:43,C,0.531
12/29/2019 11:43,C,0.531
12/29/2019 15:43,C,0.531
12/29/2019 19:43,C,0.531
12/29/2019 23:43,C,0.531
12/30/2019 3:43,C,0.531
12/30/2019 7:43,C,0.531
12/30/2019 11:43,C,0.531
12/30/2019 15:43,C,0.531
12/30/2019 19:43,C,0.531
12/30/2019 23:43,C,0.531
12/31/2019 3:43,C,0.531
12/31/2019 7:43,C,0.531
12/31/2019 11:43,C,0.531
12/31/2019 15:43,C,0.531
12/31/2019 19:43,C,0.531
12/31/2019 23:43,C,0.531
1/1/2020 3:43,C,0.531
1/1/2020 7:43,C,0.531
1/1/2020 11:43,C,0.531
1/1/2020 15:43,C,0.531
1/1/2020 19:43,C,0.531
1/1/2020 23:43,C,0.531
1/2/2020 3:43,C,0.531
1/2/2020 7:43,C,0.531
1/2/2020 11:43,C,0.531
1/2/2020 15:43,C,0.531
1/2/2020 19:43,C,0.531
1/2/2020 23:43,C,0.531
1/3/2020 3:43,C,0.531
1/3/2020 7:43,C,0.531
1/3/2020 11:43,C,0.531
1/3/2020 15:43,C,0.531
1/3/2020 19:43,C,0.531
1/3/2020 23:43,C,0.531
1/4/2020 3:43,C,0.531
1/4/2020 7:43,C,0.531
1/4/2020 11:43,C,0.531
1/4/2020 15:43,C,0.531
1/4/2020 19:43,C,0.531
1/4/2020 23:43,C,0.531
1/5/2020 3:43,C,0.531
1/5/2020 7:43,C,0.531
1/5/2020 11:43,C,0.531
1/5/2020 15:43,C,0.531
1/5/2020 19:43,C,0.531
1/5/2020 23:43,C,0.531
1/6/2020 3:43,C,0.531
1/6/2020 7:43,C,0.531
1/6/2020 11:43,C,0.531
1/6/2020 15:43,C,0.531
1/6/2020 19:43,C,0.531
1/6/2020 23:43,C,0.531
1/7/2020 3:43,C,0.531
1/7/2020 7:43,C,0.531
1/7/2020 11:43,C,0.531
1/7/2020 15:43,C,0.531
1/7/2020 19:43,C,0.531
1/7/2020 23:43,C,0.531
1/8/2020 3:43,C,0.531
1/8/2020 7:43,C,0.531
1/8/2020 11:43,C,0.531
1/8/2020 15:43,C,0.531
1/8/2020 19:43,C,0.531
1/8/2020 23:43,C,0.531
1/9/2020 3:43,C,0.531
1/9/2020 7:43,C,0.531
1/9/2020 11:43,C,0.531
1/9/2020 15:43,C,0.531
1/9/2020 19:43,C,0.531
1/9/2020 23:43,C,0.531
1/10/2020 3:43,C,0.531
1/10/2020 7:43,C,0.531
1/10/2020 11:43,C,0.531
1/10/2020 15:43,C,0.531
1/10/2020 19:43,C,0.531
1/10/2020 23:43,C,0.531
1/11/2020 3:43,C,0.531
1/11/2020 7:43,C,0.531
1/11/2020 11:43,C,0.531
1/11/2020 15:43,C,0.531
1/11/2020 19:43,C,0.531
1/11/2020 23:43,C,0.531
1/12/2020 3:43,C,0.531
1/12/2020 7:43,C,0.531
1/12/2020 11:43,C,0.028
1/12/2020 15:43,C,0.028
1/12/2020 19:43,C,0.028
1/12/2020 23:43,C,0.028
1/13/2020 3:43,C,0.028
1/13/2020 7:43,C,0.028
1/13/2020 11:43,C,0.028
1/13/2020 15:43,C,0.028
1/13/2020 19:43,C,0.028
1/13/2020 23:43,C,0.028
1/14/2020 3:43,C,0.028
1/14/2020 7:43,C,0.028
1/14/2020 11:43,C,0.028
1/14/2020 15:43,C,0.028
1/14/2020 19:43,C,0.028
1/14/2020 23:43,C,0.028
1/15/2020 3:43,C,0.028
1/15/2020 7:43,C,0.028
1/15/2020 11:43,C,0.028
1/15/2020 15:43,C,0.028
1/15/2020 19:43,C,0.028
1/15/2020 23:43,C,0.028
1/16/2020 3:43,C,0.028
1/16/2020 7:43,C,0.028
1/16/2020 11:43,C,0.028
1/16/2020 15:43,C,0.028
1/16/2020 19:43,C,0.028
1/16/2020 23:43,C,0.028
1/17/2020 3:43,C,0.028
1/17/2020 7:43,C,0.028
1/17/2020 11:43,C,0.028
1/17/2020 15:43,C,0.028
1/17/2020 19:43,C,0.028
1/17/2020 23:43,C,0.028
1/18/2020 3:43,C,0.028
1/18/2020 7:43,C,0.028
1/18/2020 11:43,C,0.028
1/18/2020 15:43,C,0.028
1/18/2020 19:43,C,0.028
1/18/2020 23:43,C,0.028
1/19/2020 3:43,C,0.028
1/19/2020 7:43,C,0.028
1/19/2020 11:43,C,0.028
1/19/2020 15:43,C,0.028
1/19/2020 19:43,C,0.028
1/19/2020 23:43,C,0.028
1/20/2020 3:43,C,0.028
1/20/2020 7:43,C,0.028
1/20/2020 11:43,C,0.028
1/20/2020 15:43,C,0.028
1/20/2020 19:43,C,0.028
1/20/2020 23:43,C,0.028
1/21/2020 3:43,C,0.028
1/21/2020 7:43,C,0.028
1/21/2020 11:43,C,0.028
1/21/2020 15:43,C,0.028
1/21/2020 19:43,C,0.028
1/21/2020 23:43,C,0.028
1/22/2020 3:43,C,0.028
1/22/2020 7:43,C,0.028
1/22/2020 11:43,C,0.028
1/22/2020 15:43,C,0.028
1/22/2020 19:43,C,0.028
1/22/2020 23:43,C,0.028
1/23/2020 3:43,C,0.028
1/23/2020 7:43,C,0.028
1/23/2020 11:43,C,0.028
1/23/2020 15:43,C,0.028
1/23/2020 19:43,C,0.028
1/23/2020 23:43,C,0.028
1/24/2020 3:43,C,0.028
